Put Your Hands Up (DJ Tonka Radio Edit) - Black & White Brothers,Put Your Hands Up (DJ Tonka Radio Edit),Black & White Brothers,
Universal Wub - LSDREAM & Shlump,Universal Wub,LSDREAM & Shlump,
Organism - LSDREAM & Shlump,Organism,LSDREAM & Shlump,
R.A.V.E - LSDREAM & Shlump,R.A.V.E,LSDREAM & Shlump,
STARCHILD (feat. Sarah Hudson) - LSDREAM & Shlump,STARCHILD (feat. Sarah Hudson),LSDREAM & Shlump,
Back To the Shack - Weezer,Back To the Shack,Weezer,
Upgrade (Original Mix) - Case & Point,Upgrade (Original Mix),Case & Point,
Permutate - Haywyre & Zeros,Permutate,Haywyre & Zeros,
Christmas Time Is Here Charlie Brown - Akira the Don,Christmas Time Is Here Charlie Brown,Akira the Don,
Waiting - Hamzah,Waiting,Hamzah,
The Sound - Aero Chord,The Sound,Aero Chord,
Medusa (feat. Cozi Zuehlsdorff) - Aiobahn,Medusa (feat. Cozi Zuehlsdorff),Aiobahn,
Blue to Blue - CloudNone,Blue to Blue,CloudNone,
Remember You - Conro,Remember You,Conro,
Talk! - Duumu & ÊMIA,Talk!,Duumu & ÊMIA,
Power - Eptic,Power,Eptic,
Carry On (feat. Holly Drummond) - F.O.O.L,Carry On (feat. Holly Drummond),F.O.O.L,
Solace - Feint & Laura Brehm,Solace,Feint & Laura Brehm,
Hot - FWLR,Hot,FWLR,
Blink 182 - Half an Orange,Blink 182,Half an Orange,
Head of Nasa - Infected Mushroom,Head of Nasa,Infected Mushroom,
Fizzy Lifting Drink (feat. Big Gigantic) - Kill Paris & Jimi Tents,Fizzy Lifting Drink (feat. Big Gigantic),Kill Paris & Jimi Tents,
Can We Be Free - Kuuro,Can We Be Free,Kuuro,
Berserker - Mazare & Essenger,Berserker,Mazare & Essenger,
Run - ShockOne & The Bloody Beetroots,Run,ShockOne & The Bloody Beetroots,
Metaphysical - Slippy,Metaphysical,Slippy,
Want Your Love (feat. EMEL) - Stonebank,Want Your Love (feat. EMEL),Stonebank,
"Stronger - TheFatRat, Slaydit & Anjulie",Stronger,"TheFatRat, Slaydit & Anjulie",
Dreamer - Throttle,Dreamer,Throttle,
Play - Tokyo Machine,Play,Tokyo Machine,
"Riptide - Trivecta, Amidy & RØRY",Riptide,"Trivecta, Amidy & RØRY",
Waiting (feat. Daisy Guttridge) - Vicetone,Waiting (feat. Daisy Guttridge),Vicetone,
The Darkness - Xilent,The Darkness,Xilent,
Eden (feat. Danyka Nadeau) - Au5,Eden (feat. Danyka Nadeau),Au5,
Overdose (feat. Philip Strand) - Bossfight,Overdose (feat. Philip Strand),Bossfight,
Internet Boy (feat. Micah Martin) - Dion Timmer,Internet Boy (feat. Micah Martin),Dion Timmer,
One Less Star (feat. Matt Van) - Direct & Killabyte,One Less Star (feat. Matt Van),Direct & Killabyte,
Wishes (feat. McCall) - Grant,Wishes (feat. McCall),Grant,
The One - Habstrakt,The One,Habstrakt,
Monster (feat. Trove) - Julian Calor,Monster (feat. Trove),Julian Calor,
Open Spaces - Just A Gent & Nevve,Open Spaces,Just A Gent & Nevve,
Don't Bring Me Down - Justin Oh,Don't Bring Me Down,Justin Oh,
So Far Away - Nitro Fun,So Far Away,Nitro Fun,
Gunslinga (feat. MC Mota) - Pegboard Nerds,Gunslinga (feat. MC Mota),Pegboard Nerds,
Amnesia - Pixel Terror,Amnesia,Pixel Terror,
